provinsi,using_internet_pct,not_using_internet_pct,promotion_pct,ordering_pct,purchase_payment_pct,other_purpose_pct,website_pct,email_marketing_pct,instant_message_pct,social_media_pct,marketplace_platform_pct,total_revenue_million,employee_compensation_million,operational_cost_million,raw_material_cost_million,other_cost_million,total_cost_million,average_assets_rupiah
Jawa Tengah,39.43,60.57,22.22,31.52,7.11,2.76,0.06,0.21,4.38,38.45,5.64,100711288.06,5952248.40,5605782.25,54062208.59,1403599.67,67024198.91,9300187
D.I. Yogyakarta,59.60,40.40,38.28,45.96,16.76,4.03,0.20,0.24,13.45,56.75,13.14,17295469.79,1365554.97,1431139.60,6830054.53,201976.73,9828925.83,36075060
Jawa Timur,34.48,65.52,19.66,25.96,6.22,1.40,0.25,0.14,4.05,32.94,5.18,175041244.73,14300377.80,8980900.84,57716695.46,4760673.82,85758647.92,20187302
Banten,26.96,73.04,13.57,19.79,7.51,1.90,0.58,0.71,6.44,24.42,6.50,38997081.56,5251312.82,3073804.81,20850212.94,993836.32,30134268.89,9969139
Bali,29.36,70.64,17.66,21.72,10.42,1.66,1.20,1.20,9.36,25.10,11.96,61293059.88,4087512.62,3730777.82,19885202.04,1257649.21,28961141.69,30214109
Nusa Tenggara Barat,16.23,83.77,12.83,11.21,3.70,0.17,0.04,0.05,2.10,12.16,10.64,10442958.54,426348.62,618714.52,5574091.34,202203.30,6821417.78,14004717
Nusa Tenggara Timur,35.54,64.46,25.29,21.61,15.97,3.08,0.37,1.80,11.61,26.91,21.28,4260821.59,552341.05,555024.09,2178221.19,70550.44,3356136.77,50077371
Kalimantan Barat,31.89,68.11,14.91,24.02,11.44,2.64,0.28,0.17,7.68,28.44,11.69,11864797.77,1080507.91,928687.02,5989155.76,398062.65,8404413.40,45062308
Kalimantan Tengah,31.54,68.46,23.46,15.77,11.17,0.38,0.02,0.36,9.78,24.01,17.63,7385598.42,508503.75,544851.58,2942869.91,50143.30,4046368.54,8670723
Kalimantan Selatan,21.67,78.33,14.15,17.95,7.08,0.44,0.14,0.70,5.61,19.09,6.44,13073348.56,1045953.10,935042.15,7525088.78,212889.84,9718983.87,10836047
Kalimantan Timur,25.87,74.13,14.86,18.14,8.28,0.53,0.15,0.41,9.30,21.03,7.86,15447389.41,1220373.92,1370643.27,7580052.02,384888.45,10555957.66,57012001
Kalimantan Utara,31.93,68.07,25.76,19.60,8.71,1.26,0.01,0.01,6.12,25.83,21.37,1780525.78,150393.30,97247.77,959271.92,19630.53,1226543.52,14110417
Sulawesi Utara,30.43,69.57,25.20,17.17,9.95,0.00,0.31,0.23,9.24,21.09,24.06,7135670.61,919923.66,543985.54,3433908.57,172002.80,5069713.17,15744369
Sulawesi Tengah,24.91,75.09,21.54,16.91,7.79,0.24,0.01,0.01,4.41,22.71,17.00,4504046.21,523907.37,389254.24,2371714.08,64243.90,3349119.59,9060463
Sulawesi Selatan,30.36,69.64,18.07,23.33,8.09,0.22,0.04,0.16,4.81,26.28,14.34,20056112.56,1956234.59,1098413.01,9359081.44,180467.60,12594196.64,13894313
Sulawesi Tenggara,27.26,72.74,20.72,21.13,13.97,0.09,0.09,0.02,3.88,25.99,19.15,4517437.75,484217.46,301061.41,2327320.66,72153.89,3184753.42,11554059
Gorontalo,39.40,60.60,32.48,31.47,9.36,1.03,0.01,0.01,3.48,36.71,29.08,1580012.68,106548.55,68411.03,824035.90,15616.79,1014612.27,12939946
Sulawesi Barat,38.76,61.24,25.08,25.20,11.52,,0.01,0.01,2.14,37.21,16.25,1797178.18,118093.15,114426.97,907305.04,43278.55,1183103.71,10957983
Maluku,17.94,82.06,15.88,5.87,5.14,0.20,0.18,0.19,2.04,11.35,14.70,2051998.04,103595.12,159378.90,858538.89,23580.03,1145092.94,7668861
Maluku Utara,20.48,79.52,16.51,11.05,10.94,0.93,,,2.38,10.44,17.87,1384497.24,89923.99,55541.85,607585.92,11945.41,764997.17,36915472
Papua Barat,15.98,84.02,8.37,12.30,3.90,,0.80,0.07,0.53,11.73,10.54,1536343.30,130743.97,101677.61,514147.19,14714.74,761283.71,15361255
Papua,20.37,79.63,14.88,10.52,8.95,1.28,0.34,0.73,3.06,16.17,9.23,5619156.90,584039.40,428982.27,2501720.63,91552.58,3606294.88,55242714
Indonesia,33.13,66.87,18.59,25.70,7.75,1.17,0.21,0.28,5.80,30.55,7.53,998703143.02,76024466.84,61550062.86,436606665.27,25030432.48,601211627.09,15290155
